,Age,County,Female,Male,Male_Inverse,Male_inverse,OBJECTID,shape
75,75,Embu,431,310,-310.0,,75,81
76,76,Embu,150,179,-179.0,,76,81
77,77,Embu,117,133,-133.0,,77,81
78,78,Embu,188,214,-214.0,,78,81
79,79,Embu,303,223,-223.0,,79,81
80,80+,Embu,2681,1848,-1848.0,,80,81
0,0,Busia,13705,13568,-13568.0,,0,81
1,1,Busia,12390,12320,-12320.0,,1,81
2,2,Busia,13621,13654,-13654.0,,2,81
3,3,Busia,13392,13291,-13291.0,,3,81
4,4,Busia,12852,12980,-12980.0,,4,81
5,5,Busia,12917,12898,-12898.0,,5,81
6,6,Busia,12129,12118,-12118.0,,6,81
7,7,Busia,11708,11518,-11518.0,,7,81
8,8,Busia,11211,10772,-10772.0,,8,81
9,9,Busia,11502,11313,-11313.0,,9,81
10,10,Busia,12257,12102,-12102.0,,10,81
11,11,Busia,9429,9114,-9114.0,,11,81
12,12,Busia,11498,11497,-11497.0,,12,81
13,13,Busia,10457,10373,-10373.0,,13,81
14,14,Busia,9675,9838,-9838.0,,14,81
15,15,Busia,9601,9589,-9589.0,,15,81
16,16,Busia,8734,8816,-8816.0,,16,81
17,17,Busia,8648,9350,-9350.0,,17,81
18,18,Busia,8281,8450,-8450.0,,18,81
19,19,Busia,7516,6926,-6926.0,,19,81
20,20,Busia,9597,7620,-7620.0,,20,81
21,21,Busia,6501,5450,-5450.0,,21,81
22,22,Busia,7920,6155,-6155.0,,22,81
23,23,Busia,6809,5496,-5496.0,,23,81
24,24,Busia,6239,4956,-4956.0,,24,81
25,25,Busia,7106,5681,-5681.0,,25,81
26,26,Busia,5247,4297,-4297.0,,26,81
27,27,Busia,5174,4520,-4520.0,,27,81
28,28,Busia,4747,3845,-3845.0,,28,81
29,29,Busia,4183,3752,-3752.0,,29,81
30,30,Busia,6436,5007,-5007.0,,30,81
31,31,Busia,3561,3175,-3175.0,,31,81
32,32,Busia,4463,3945,-3945.0,,32,81
33,33,Busia,3247,2909,-2909.0,,33,81
34,34,Busia,3293,3031,-3031.0,,34,81
35,35,Busia,5134,4312,-4312.0,,35,81
36,36,Busia,2881,2567,-2567.0,,36,81
37,37,Busia,2961,2567,-2567.0,,37,81
38,38,Busia,2907,2228,-2228.0,,38,81
39,39,Busia,2677,2237,-2237.0,,39,81
40,40,Busia,4859,3454,-3454.0,,40,81
41,41,Busia,2316,2061,-2061.0,,41,81
42,42,Busia,2399,2032,-2032.0,,42,81
43,43,Busia,2114,1662,-1662.0,,43,81
44,44,Busia,1936,1630,-1630.0,,44,81
45,45,Busia,3278,2582,-2582.0,,45,81
46,46,Busia,2265,1844,-1844.0,,46,81
47,47,Busia,2528,1964,-1964.0,,47,81
48,48,Busia,2090,1607,-1607.0,,48,81
49,49,Busia,2134,1837,-1837.0,,49,81
50,50,Busia,3357,2316,-2316.0,,50,81
51,51,Busia,1759,1493,-1493.0,,51,81
52,52,Busia,1723,1464,-1464.0,,52,81
53,53,Busia,1594,1237,-1237.0,,53,81
54,54,Busia,1622,1277,-1277.0,,54,81
55,55,Busia,1997,1546,-1546.0,,55,81
56,56,Busia,1411,1187,-1187.0,,56,81
57,57,Busia,1733,1505,-1505.0,,57,81
58,58,Busia,908,795,-795.0,,58,81
59,59,Busia,1421,1105,-1105.0,,59,81
60,60,Busia,2262,1567,-1567.0,,60,81
61,61,Busia,1210,1014,-1014.0,,61,81
62,62,Busia,840,829,-829.0,,62,81
63,63,Busia,882,819,-819.0,,63,81
64,64,Busia,1104,830,-830.0,,64,81
65,65,Busia,1194,948,-948.0,,65,81
66,66,Busia,588,544,-544.0,,66,81
67,67,Busia,1183,966,-966.0,,67,81
68,68,Busia,598,510,-510.0,,68,81
69,69,Busia,1026,680,-680.0,,69,81
